keys,en,hu
BRAIN_TOUCH,somatosensory cortex,szomatoszenzoros kéreg
BRAIN_SIGHT,primary visual cortex,elsődleges látókéreg
BRAIN_SMELL,olfactory bulb,szaglóhagyma
BRAIN_TASTE,gustatory cortex,ízkéreg
BRAIN_HEARING,auditory cortex,elsődleges hallókéreg
TOUCH,Touch,Tapintás
SIGHT,Sight,Látás
SMELL,Smell,Szaglás
TASTE,Taste,Ízlés
HEARING,Hearing,Hallás
en,English,Angol
hu,Hungarian,Magyar
MENU_NEW,New Story,Új Sztori 
MENU_TUTORIAL,Tutorial,Tutorial
MENU_OPTIONS,Options,Beállítások
MENU_QUIT,Quit Game,Kilépés
MENU_LANGUAGE,Language,Nyelv
MENU_SAVE,Save,Mentés
MENU_CREDITS,Credits,Stáblista
BTN_GUESS,Guess (G),Tippelés (G)
BTN_HINT,Hints (H),Tények (H)
UI_GUESSER_PROMPT,"What do you think 
the word is?",Mi lehet ez a szó?
UI_REMEMBER_BTN,Remember,Ez volt!
UI_SHOW_ALL,All Hints,Összes Tény
UI_HELPFUL,Helpful,Hasznos
UI_UNHELPFUL,Unhelpful,Haszontalan
UI_PAUSED,Paused,Szünet
UI_RESUME,Resume,Folytatás
UI_CLOSE,Close,Bezárás
UI_GAME_OVER,%s couldn't remember :-(,%s nem emlékszik :-( 
UI_RESTART,Restart,Újrakezdés
UI_MAIN_MENU,Main Menu,Főmenü
UI_NEXT_LEVEL,Next Level,Következő Pálya
UI_LEVEL_WON,"%s remembers this word!
%s more to go…","%s emlékszik erre a szóra!
Már csak %s hiányzik…"
UI_LAST_LEVEL,"%s remembers the story!
It was a %s…","%s összerakta a sztorit!
Egy klasszikus %s…"
UI_STORY_BTN,Show Story,Mutasd a Sztorit
UI_UPGRADE_SELECTION,"The neuron evolves...
Select an upgrade:","A neuron fejlődik...
Válassz egy fejlesztést:"
UI_PLAY,Play,Lejátszás
UI_HINT_COUNTER,Helpful Hints:,Hasznos Tények:
UI_GUESSES,Guesses:,Tippek:
OPTION_FULLSCREEN,Fullscreen,Teljes képernyős
OPTION_BORDERLESS,Borderless,Keret nélküli ablakos
OPTION_WINDOWED,Windowed,Ablakos
OPTION_SFX,SFX,Hang
OPTION_MUSIC,Music,Zene
MENU_NAME,Who is this story about?,Kiről szól a történet?
MENU_NAME_PLACEHOLDER,name,név
MENU_START,Start,Kezdés
MENU_STORY,"To generate the story:
1. click on the ChatGPT button
2. log in
3. paste this prompt to a new chat window with Ctrl+V.","A sztori kigenerálásához:
1. kattints a ChatGPT gombra
2. jelentkezz be
3. egy új chat ablakban illeszd be az utasítást a Ctrl+V billentyűkombinációval."
GENRE_MYSTERY,mystery,krimi
GENRE_HORROR,horror,horror
GENRE_FANTASY,fantasy,fantasy
GENRE_COMEDY_SKIT,comedy skit,stand-up comedy
GENRE_DRAMA,drama,dráma
GENRE_SLAM_POETRY,slam poetry,slam poetry
GENRE_FAIRY_TALE,fairy tale,mese
GENRE_ROMANCE,romance,romantikus sztori
GENRE_SCIFI,sci-fi,sci-fi
GENRE_YOUNG_ADULT,young adult novel,ifjúsági regény
TUTORIAL_STEP_0,"Welcome to RememBlur!

Your goal is to remember a story from your past. For that, you need to recall keywords, one by one.","Üdv a RememBlur világában!

A feladatod, hogy visszaemlékezz egy történetre a múltadból. Ehhez egyesével fel kell idézned a kulcsszavakat."
TUTORIAL_STEP_1,Use the WASD or arrow keys to collect the first marker.,"Mozogni a WASD gombokkal vagy a nyilakkal tudsz.
Szedd össze az első jelölőt."
TUTORIAL_STEP_2_1,"Awesome!

In the bottom left corner, there is a gate. Sometimes, the only way to get to the nooks and crannies of the brain is to use a teleport gate. This is 100% correct, anatomically speaking.","Szuper!

A bal alsó sarokban ott egy portál. Néha muszáj portálokat használni ha el akarsz jutni az agy zeg-zugos részeire. Ez természetesen 100%-ban igaz az agy valós anatómiájára is."
TUTORIAL_STEP_2_2,Use the Gate to get to other side.,"Használd a portált, hogy átjuss a másik oldalra."
TUTORIAL_STEP_3,"Oh no!

It seems like you are running out of time (check the top-left corner). Collect the time bonus pickups to ""buy"" some time.","Jajj ne!

A bal felső sarokba pillantva nagyon úgy néz ki hogy kifogysz az időből. Szedd össze a bónuszokat, hogy ""nyerj"" egy kis időt."
TUTORIAL_STEP_4_1,"Great!

Now, we should focus on the keyword. It is a 5 letter word as you can see on the top of the screen. But we need more hints because we can only guess the whole word...  ","Nagyszerű!

Koncentráljunk a kulcsszóra mostmár. Az látszik a képernyő tetején, hogy négy betűs a szó. De ennél több segítségre van szükségünk, mert csak a teljes szót tudjuk megtippelni…"
TUTORIAL_STEP_4_2,"Luckily, our senses come to the rescue. To interact with the primary visual cortex go next to it and press SPACE or E.",Szerencsére az érzékeink kisegítenek minket. Az elsődleges látókéreg aktiválásához mozogj oda mellé és nyomd meg a SPACE vagy az E billentyűt.
TUTORIAL_STEP_4_3,You can always check all the hints you have so far. Just press the button in the top-left corner or press H.,Bármikor tudod ellenőrizni az eddigi segítségeidet. Kattints a gombra a bal felső sarokban vagy nyomd meg a H billentyűt.
TUTORIAL_STEP_4_4,"Fantastic!

Collect the next marker to continue.","Fantasztikus!

Szedd össze a következő jelölőt."
TUTORIAL_STEP_5_1,"Now we know that it's definitely something red…

When you get a hint it's either unhelpful (X) or helpful to some degree (stars).","Mostmár tudjuk, hogy biztosan valami pirosról van szó…

Amikor segítséget kapsz, az vagy haszontalan (X) vagy valamennyire hasznos (csillagok)."
TUTORIAL_STEP_5_2,Now let's get another hint from the auditory cortex. Make sure to press play to listen to the sound.,Kérjünk most segítséget az elsődleges hallókéregtől. Ne felejtsd el megnyomni a play gombot!
TUTORIAL_STEP_6_1,"That sound helps a lot, doesn't it?

When you're ready to guess press the button in the top-left corner or press G.","Ez sokat segít, nemde?

Amikor van egy tipped, kattints a gombra a bal felső sarokban vagy nyomd meg a G billentyűt."
TUTORIAL_STEP_6_2,"If you guess the correct keyword, you won the level. However, if you enter a wrong guess you lose 1 energy. When your energy reaches 0 or your time is up, the game is over.","Ha a jó kulcsszóra  tippelsz, megnyered a szintet. Rossz tipp esetén pedig veszítesz 1 energiát. Ha 0 energiád marad vagy lejár az idő, elveszíted a játékot."
TUTORIAL_STEP_6_3,"Enter the keyword, then collect the last marker.",Írd be a kulcsszót aztán szedd össze az utolsó jelölőt.
UI_GOT_IT,Got it,Értem
TUTORIAL_FINISHED,"That's the end of the tutorial. 
You're ready for some real remembering action.","Ezzel véget is ért a tutorial.
Készen állsz a valódi visszaemlékezésre."
TUTORIAL_GAME_OVER,Something went wrong. You might want to try again.,Valami félrement. Lehet érdemes lenne újra megpróbálni?
CREDITS_SFX,"SFX are from freesound.org, from the following users:","A hangok a freesound.org oldalról vannak, a következő felhasználóktól:"
